"Reino","Filo","Classe","Ordem","Autor","Subordem","Parvordem","familia","especie"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Leptodon cayanensis"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Leptodon forbesi"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Chondrohierax uncinatus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Elanoides forficatus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Gampsonyx swainsonii"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Elanus leucurus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Harpagus bidentatus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Harpagus diodon"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Circus cinereus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Circus buffoni"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Milvus migrans"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Accipiter poliogaster"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Accipiter superciliosus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Accipiter striatus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Accipiter bicolor"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Ictinia mississippiensis"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Ictinia plumbea"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Busarellus nigricollis"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Rostrhamus sociabilis"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Helicolestes hamatus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Geranospiza caerulescens"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Buteogallus schistaceus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Buteogallus aequinoctialis"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Buteogallus anthracinus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Heterospizias meridionalis"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Amadonastur lacernulatus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Urubitinga urubitinga"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Urubitinga coronata"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Rupornis magnirostris"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Parabuteo unicinctus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Parabuteo leucorrhous"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Geranoaetus albicaudatus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Geranoaetus melanoleucus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Geranoaetus polyosoma"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Pseudastur albicollis"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Pseudastur polionotus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Leucopternis melanops"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Leucopternis kuhli"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Buteo nitidus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Buteo platypterus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Buteo brachyurus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Buteo swainsoni"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Buteo albonotatus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Morphnus guianensis"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Harpia harpyja"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Spizaetus tyrannus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Spizaetus melanoleucus"
"Animalia","Chordata","Aves","Accipitriformes","Vigors, 1824",NA,NA,"Accipitridae","Spizaetus ornatus"
"Animalia","Chordata","Aves","Coraciiformes","Rafinesque, 1815",NA,NA,"Alcedinidae","Megaceryle torquata"
"Animalia","Chordata","Aves","Coraciiformes","Rafinesque, 1815",NA,NA,"Alcedinidae","Chloroceryle amazona"
"Animalia","Chordata","Aves","Coraciiformes","Rafinesque, 1815",NA,NA,"Alcedinidae","Chloroceryle aenea"
"Animalia","Chordata","Aves","Coraciiformes","Rafinesque, 1815",NA,NA,"Alcedinidae","Chloroceryle americana"
"Animalia","Chordata","Aves","Coraciiformes","Rafinesque, 1815",NA,NA,"Alcedinidae","Chloroceryle inda"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Dendrocygna bicolor"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Dendrocygna viduata"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Dendrocygna autumnalis"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Cygnus melancoryphus"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Coscoroba coscoroba"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Chloephaga picta"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Neochen jubata"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Cairina moschata"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Sarkidiornis sylvicola"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Callonetta leucophrys"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Amazonetta brasiliensis"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Anas sibilatrix"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Anas flavirostris"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Anas acuta"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Anas georgica"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Anas bahamensis"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Anas versicolor"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Anas discors"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Anas cyanoptera"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Anas platalea"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Netta erythrophthalma"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Netta peposaca"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Mergus octosetaceus"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Heteronetta atricapilla"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Nomonyx dominicus"
"Animalia","Chordata","Aves","Anseriformes","Leach, 1820",NA,NA,"Anatidae","Oxyura vittata"
