
Família	Espécie	Nome Comum	Sons	Fotos
Rheidae	Rhea americana	ema	17	3958
Tinamidae	Tinamus tao	azulona	18	97
 	Tinamus solitarius	macuco	163	1057
 	Tinamus major	inhambu-de-cabeça-vermelha	17	89
 	Tinamus guttatus	inhambu-galinha	23	23
 	Crypturellus cinereus	inhambu-preto	151	85
 	Crypturellus soui	tururim	244	215
 	Crypturellus obsoletus	inhambuguaçu	689	1305
 	Crypturellus undulatus	jaó	336	747
 	Crypturellus strigulosus	inhambu-relógio	66	55
 	Crypturellus duidae	inhambu-de-pé-cinza	8	5
 	Crypturellus erythropus	inhambu-de-perna-vermelha	13	9
 	Crypturellus noctivagus	jaó-do-sul	171	328
 	Crypturellus atrocapillus	inhambu-de-coroa-preta	11	10
 	Crypturellus variegatus	inhambu-anhangá	66	63
 	Crypturellus brevirostris	inhambu-carijó	2	3
 	Crypturellus bartletti	inhambu-anhangaí	9	0
 	Crypturellus parvirostris	inhambu-chororó	550	1774
 	Crypturellus tataupa	inhambu-chintã	566	958
 	Rhynchotus rufescens	perdiz	334	1392
 	Nothura boraquira	codorna-do-nordeste	115	817
 	Nothura minor	codorna-mineira	6	15
 	Nothura maculosa	codorna-amarela	246	2936
 	Taoniscus nanus	inhambu-carapé	18	2
Anhimidae	Anhima cornuta	anhuma	147	2631
 	Chauna torquata	tachã	119	3391
Anatidae	Dendrocygna bicolor	marreca-caneleira	56	2228
 	Dendrocygna viduata	irerê	250	9215
 	Dendrocygna autumnalis	marreca-cabocla	163	5627
 	Cygnus melancoryphus	cisne-de-pescoço-preto	6	1066
 	Coscoroba coscoroba	capororoca	29	1751
 	Chloephaga picta	ganso-de-magalhães	3	216
 	Neochen jubata	pato-corredor	15	555
 	Cairina moschata	pato-do-mato	28	6079
 	Sarkidiornis sylvicola	pato-de-crista	5	1100
 	Callonetta leucophrys	marreca-de-coleira	3	1410
 	Amazonetta brasiliensis	pé-vermelho	181	12479
 	Anas sibilatrix	marreca-oveira	3	255
 	Anas flavirostris	marreca-pardinha	23	1818
 	Anas acuta	arrabio	1	65
 	Anas georgica	marreca-parda	17	1687
 	Anas bahamensis	marreca-toicinho	25	2940
 	Anas versicolor	marreca-cricri	13	2265
 	Anas discors	marreca-de-asa-azul	0	123
 	Anas cyanoptera	marreca-colorada	1	114
 	Anas platalea	marreca-colhereira	1	536
 	Netta erythrophthalma	paturi-preta	8	944
 	Netta peposaca	marrecão	10	1194
 	Mergus octosetaceus	pato-mergulhão	12	547
 	Heteronetta atricapilla	marreca-de-cabeça-preta	0	126
 	Nomonyx dominicus	marreca-de-bico-roxo	27	2535
 	Oxyura vittata	marreca-rabo-de-espinho	0	233
Cracidae	Penelope marail	jacumirim	8	187
 	Penelope superciliaris	jacupemba	118	2753
 	Penelope jacquacu	jacu-de-spix	17	365
 	Penelope obscura	jacuaçu	410	9124
 	Penelope pileata	jacupiranga	15	340
 	Penelope ochrogaster	jacu-de-barriga-castanha	19	594
 	Penelope jacucaca	jacucaca	26	299
 	Aburria cumanensis	jacutinga-de-garganta-azul	11	804
 	Aburria cujubi	cujubi	16	821
 	Aburria jacutinga	jacutinga	18	1273
 	Ortalis canicollis	aracuã-do-pantanal	77	1621
 	Ortalis guttata	aracuã-pintado	85	654
 	Ortalis araucuan	aracuã-de-barriga-branca	88	1183
 	Ortalis squamata	aracuã-escamoso	133	2475
 	Ortalis motmot	aracuã-pequeno	66	587
 	Ortalis superciliaris	aracuã-de-sobrancelhas	16	214
 	Nothocrax urumutum	urumutum	4	6
 	Crax alector	mutum-poranga	11	245
 	Crax globulosa	mutum-de-fava	1	16
 	Crax fasciolata	mutum-de-penacho	107	3006
 	Crax blumenbachii	mutum-de-bico-vermelho	31	537
 	Pauxi tomentosa	mutum-do-norte	8	55
 	Pauxi tuberosa	mutum-cavalo	11	333
 	Pauxi mitu	mutum-do-nordeste	0	2
Odontophoridae	Colinus cristatus	uru-do-campo	16	207
 	Odontophorus gujanensis	uru-corcovado	50	84
 	Odontophorus capueira	uru	265	1190
 	Odontophorus stellatus	uru-de-topete	14	6
Podicipedidae	Rollandia rolland	mergulhão-de-orelha-branca	3	1179
 	Tachybaptus dominicus	mergulhão-pequeno	175	4745
 	Podilymbus podiceps	mergulhão-caçador	109	5288
 	Podicephorus major	mergulhão-grande	19	1354
 	Podiceps occipitalis	mergulhão-de-orelha-amarela	0	226
Phoenicopteridae	Phoenicopterus ruber	flamingo	2	95
 	Phoenicopterus chilensis	flamingo-chileno	3	1535
 	Phoenicoparrus andinus	flamingo-dos-andes	1	578
 	Phoenicoparrus jamesi	flamingo-da-puna	1	77
Spheniscidae	Aptenodytes patagonicus	pinguim-rei	1	80
 	Spheniscus magellanicus	pinguim-de-magalhães	3	694
 	Eudyptes chrysolophus	pinguim-de-testa-amarela	0	10
 	Eudyptes chrysocome	pinguim-de-penacho-amarelo	0	51
Diomedeidae	Phoebetria fusca	piau-preto	0	5
 	Phoebetria palpebrata	piau-de-costas-claras	0	10
 	Thalassarche chlororhynchos	albatroz-de-nariz-amarelo	4	573
 	Thalassarche melanophris	albatroz-de-sobrancelha	4	319
 	Thalassarche chrysostoma	albatroz-de-cabeça-cinza	0	14
 	Thalassarche cauta	albatroz-arisco	0	18
 	Diomedea epomophora	albatroz-real	0	23
 	Diomedea sanfordi	albatroz-real-do-norte	0	23
 	Diomedea exulans	albatroz-gigante	0	48
 	Diomedea dabbenena	albatroz-de-tristão	0	18
Procellariidae	Macronectes giganteus	petrel-gigante	0	278
 	Macronectes halli	petrel-gigante-do-norte	0	56
 	Fulmarus glacialoides	pardelão-prateado	0	30
 	Daption capense	pomba-do-cabo	0	50
 	Lugensa brevirostris	grazina-de-bico-curto	0	3
 	Pterodroma madeira	grazina-da-madeira	1	0
 	Pterodroma deserta	grazina-de-desertas	0	5
 	Pterodroma mollis	grazina-mole	0	13
 	Pterodroma incerta	grazina-de-barriga-branca	0	25
 	Pterodroma lessonii	grazina-de-cabeça-branca	0	1
 	Pterodroma arminjoniana	grazina-de-trindade	1	24
 	Halobaena caerulea	petrel-azul	0	4
 	Pachyptila vittata	faigão-de-bico-largo	0	5
 	Pachyptila desolata	faigão-rola	0	12
 	Pachyptila belcheri	faigão-de-bico-fino	0	13
 	Bulweria bulwerii	alma-negra	0	8
 	Procellaria aequinoctialis	pardela-preta	3	207
 	Procellaria conspicillata	pardela-de-óculos	0	43
 	Calonectris borealis	bobo-grande	0	99
 	Calonectris edwardsii	bobo-de-cabo-verde	0	28
 	Puffinus griseus	bobo-escuro	0	62
 	Puffinus tenuirostris	bobo-de-cauda-curta	0	3
 	Puffinus gravis	bobo-grande-de-sobre-branco	0	93
 	Puffinus puffinus	bobo-pequeno	0	224
 	Puffinus lherminieri	pardela-de-asa-larga	1	7
Hydrobatidae	Fregetta grallaria	painho-de-barriga-branca	0	3
 	Fregetta tropica	painho-de-barriga-preta	0	13
 	Oceanites oceanicus	alma-de-mestre	0	99
 	Pelagodroma marina	painho-de-ventre-branco	0	1
 	Oceanodroma leucorhoa	painho-de-cauda-furcada	0	10
Pelecanoididae	Pelecanoides magellani	petrel-mergulhador	0	6
Phaethontidae	Phaethon aethereus	rabo-de-palha-de-bico-vermelho	5	182
 	Phaethon rubricauda	rabo-de-palha-de-cauda-vermelha	0	10
 	Phaethon lepturus	rabo-de-palha-de-bico-laranja	5	265
Ciconiidae	Ciconia maguari	maguari	3	3214
 	Jabiru mycteria	tuiuiú	14	4555
 	Mycteria americana	cabeça-seca	8	6671
Fregatidae	Fregata magnificens	tesourão	8	5772
 	Fregata minor	tesourão-grande	0	35
 	Fregata ariel	tesourão-pequeno	0	10
Sulidae	Morus capensis	atobá-do-cabo	0	10
 	Morus serrator	atobá-australiano	0	20
 	Sula dactylatra	atobá-grande	6	434
 	Sula sula	atobá-de-pé-vermelho	6	521
 	Sula leucogaster	atobá-pardo	11	2895
Phalacrocoracidae	Nannopterum brasilianus	biguá	111	12603
 	Leucocarbo bransfieldensis	biguá-das-shetland	0	13
Anhingidae	Anhinga anhinga	biguatinga	41	6154
Pelecanidae	Pelecanus occidentalis	pelicano-pardo	0	443
Ardeidae	Tigrisoma lineatum	socó-boi	78	7709
 	Tigrisoma fasciatum	socó-boi-escuro	0	508
 	Agamia agami	garça-da-mata	3	521
 	Cochlearius cochlearius	arapapá	15	868
 	Zebrilus undulatus	socoí-zigue-zague	16	116
 	Botaurus pinnatus	socó-boi-baio	20	1161
 	Ixobrychus exilis	socoí-vermelho	75	514
 	Ixobrychus involucris	socoí-amarelo	15	398
 	Nycticorax nycticorax	savacu	134	11479
 	Nyctanassa violacea	savacu-de-coroa	31	2849
 	Butorides striata	socozinho	169	13408
 	Ardeola ralloides	garça-caranguejeira	3	200
 	Bubulcus ibis	garça-vaqueira	74	9043
 	Ardea cinerea	garça-moura-europeia	4	188
 	Ardea herodias	garça-azul-grande	2	184
 	Ardea cocoi	garça-moura	66	10101
 	Ardea purpurea	garça-roxa	1	34
 	Ardea alba	garça-branca-grande	186	15790
 	Syrigma sibilatrix	maria-faceira	165	9980
 	Pilherodius pileatus	garça-real	4	3059
 	Egretta tricolor	garça-tricolor	0	391
 	Egretta gularis	garça-negra	0	15
 	Egretta garzetta	garça-branca-pequena-europeia	2	84
 	Egretta thula	garça-branca-pequena	69	11473
 	Egretta caerulea	garça-azul	24	6133
Threskiornithidae	Eudocimus ruber	guará	6	2265
 	Plegadis chihi	caraúna	51	3293
 	Cercibis oxycerca	trombeteiro	8	121
 	Mesembrinibis cayennensis	coró-coró	279	4699
 	Phimosus infuscatus	tapicuru	68	7975
 	Theristicus caerulescens	curicaca-real	69	2103
 	Theristicus caudatus	curicaca	370	9527
 	Platalea leucorodia	colhereiro-europeu	0	30
 	Platalea ajaja	colhereiro	27	7207
Cathartidae	Cathartes aura	urubu-de-cabeça-vermelha	10	9807
 	Cathartes burrovianus	urubu-de-cabeça-amarela	4	6665
 	Cathartes melambrotus	urubu-da-mata	0	1193
 	Coragyps atratus	urubu-de-cabeça-preta	100	13143
 	Sarcoramphus papa	urubu-rei	4	4322
 	Vultur gryphus	condor-dos-andes	0	290
Pandionidae	Pandion haliaetus	águia-pescadora	26	3731
Accipitridae	Leptodon cayanensis	gavião-de-cabeça-cinza	153	3227
 	Leptodon forbesi	gavião-de-pescoço-branco	21	192
 	Chondrohierax uncinatus	gavião-caracoleiro	24	1920
